"time";"therm";"temperature";"humidity";"pressure"
12:39:42.892;13779;175273;398459;100901
;;;;
12:39:43.090;13827;17507;40093;100898
;;;;
12:39:43.279;13827;175172;397526;100898
;;;;
12:39:43.454;13811;175172;397416;100896
;;;;
12:39:43.646;13859;175273;39813;100899
;;;;
12:39:43.836;13859;175121;399448;100899
;;;;
12:39:44.024;13827;175375;39824;100898
;;;;
12:39:44.209;13795;175375;398954;100897
;;;;
12:39:44.394;13859;175426;397911;100898
;;;;
12:39:44.577;13843;175375;396318;100898
;;;;
12:39:44.764;13923;175578;397856;100897
;;;;
12:39:44.951;13859;175527;398076;100897
;;;;
12:39:45.154;13907;175527;397142;100898
;;;;
12:39:45.341;13875;175629;39901;100899
;;;;
12:39:45.526;13859;17568;397087;100896
;;;;
12:39:45.710;13859;175578;396264;100896
;;;;
12:39:45.914;13891;175629;39912;100895
;;;;
12:39:46.099;13843;17568;396429;100897
;;;;
12:39:46.287;13875;17568;397198;100897
;;;;
12:39:46.471;13827;17573;397143;100898
;;;;
12:39:46.660;13891;175832;398846;100898
;;;;
12:39:46.860;13891;175781;396045;100898
;;;;
12:39:47.045;13875;175883;397857;100901
;;;;
12:39:47.232;13875;175883;399725;10090
;;;;
12:39:47.419;13875;175883;397034;100898
;;;;
12:39:47.618;13859;175934;398682;100897
;;;;
12:39:47.803;13843;175984;399506;100899
;;;;
12:39:47.992;13763;176086;39665;10090
;;;;
12:39:48.185;13875;175984;396595;100899
;;;;
12:39:48.376;13907;175984;401649;100898
;;;;
12:39:48.549;13843;176086;400331;100897
;;;;
12:39:48.740;13811;176086;395057;100898
;;;;
12:39:48.935;13859;176238;400001;100899
;;;;
12:39:49.123;13875;176238;39742;100897
;;;;
12:39:49.315;13811;176289;398903;100899
;;;;
12:39:49.491;13875;176289;39764;100898
;;;;
12:39:49.684;13811;17634;400222;10090
;;;;
12:39:49.874;13859;176391;397255;100895
;;;;
12:39:50.061;13827;176391;400222;10090
;;;;
12:39:50.249;13827;176391;399014;100896
;;;;
